地区,新增确诊,现有确诊,累计确诊,累计死亡,死亡率,累计治愈,治愈率
安徽,0,0,991,6,0.61,985,99.39
境外输入,0,0,1,0,0.00,1,100.00
宣城,0,0,6,0,0.00,6,100.00
池州,0,0,17,0,0.00,17,100.00
亳州,0,0,108,0,0.00,108,100.00
六安,0,0,69,0,0.00,69,100.00
宿州,0,0,41,0,0.00,41,100.00
阜阳,0,0,155,0,0.00,155,100.00
滁州,0,0,13,0,0.00,13,100.00
黄山,0,0,9,0,0.00,9,100.00
安庆,0,0,83,0,0.00,83,100.00
铜陵,0,0,29,0,0.00,29,100.00
淮北,0,0,27,0,0.00,27,100.00
马鞍山,0,0,38,0,0.00,38,100.00
淮南,0,0,27,0,0.00,27,100.00
蚌埠,0,0,160,5,3.12,155,96.88
芜湖,0,0,34,0,0.00,34,100.00
合肥,0,0,174,1,0.57,173,99.43
江西,0,0,932,1,0.11,931,99.89
九江,0,0,116,0,0.00,116,100.00
新余,0,0,129,0,0.00,129,100.00
赣州,0,0,74,1,1.35,73,98.65
境外输入,0,0,2,0,0.00,2,100.00
南昌,0,0,230,0,0.00,230,100.00
上饶,0,0,123,0,0.00,123,100.00
抚州,0,0,72,0,0.00,72,100.00
吉安,0,0,22,0,0.00,22,100.00
萍乡,0,0,33,0,0.00,33,100.00
宜春,0,0,106,0,0.00,106,100.00
鹰潭,0,0,18,0,0.00,18,100.00
景德镇,0,0,6,0,0.00,6,100.00
赣江新区,0,0,1,0,0.00,1,100.00
湖南,0,0,1019,4,0.39,1015,99.61
境外输入,0,0,1,0,0.00,1,100.00
湘西自治州,0,0,8,0,0.00,8,100.00
娄底,0,0,76,0,0.00,76,100.00
怀化,0,0,40,0,0.00,40,100.00
永州,0,0,44,0,0.00,44,100.00
郴州,0,0,39,0,0.00,39,100.00
益阳,0,0,60,0,0.00,60,100.00
张家界,0,0,5,0,0.00,5,100.00
常德,0,0,82,0,0.00,82,100.00
岳阳,0,0,156,1,0.64,155,99.36
邵阳,0,0,102,1,0.98,101,99.02
湘潭,0,0,36,0,0.00,36,100.00
株洲,0,0,80,0,0.00,80,100.00
衡阳,0,0,48,0,0.00,48,100.00
长沙,0,0,242,2,0.83,240,99.17
广西,0,0,255,2,0.78,253,99.22
境外输入,0,0,3,0,0.00,3,100.00
北海,0,0,44,1,2.27,43,97.73
防城港,0,0,19,0,0.00,19,100.00
来宾,0,0,11,0,0.00,11,100.00
柳州,0,0,24,0,0.00,24,100.00
南宁,0,0,55,0,0.00,55,100.00
河池,0,0,28,1,3.57,27,96.43
桂林,0,0,32,0,0.00,32,100.00
玉林,0,0,11,0,0.00,11,100.00
钦州,0,0,8,0,0.00,8,100.00
贵港,0,0,8,0,0.00,8,100.00
梧州,0,0,5,0,0.00,5,100.00
百色,0,0,3,0,0.00,3,100.00
贺州,0,0,4,0,0.00,4,100.00
宁夏,0,0,75,0,0.00,75,100.00
境外输入,0,0,3,0,0.00,3,100.00
银川,0,0,34,0,0.00,34,100.00
吴忠,0,0,28,0,0.00,28,100.00
固原,0,0,5,0,0.00,5,100.00
中卫,0,0,3,0,0.00,3,100.00
石嘴山,0,0,1,0,0.00,1,100.00
宁东管委会,0,0,1,0,0.00,1,100.00
山西,0,0,201,0,0.00,201,100.00
境外输入,0,0,67,0,0.00,67,100.00
太原,0,0,21,0,0.00,21,100.00
晋中,0,0,37,0,0.00,37,100.00
大同,0,0,12,0,0.00,12,100.00
运城,0,0,19,0,0.00,19,100.00
晋城,0,0,10,0,0.00,10,100.00
忻州,0,0,7,0,0.00,7,100.00
长治,0,0,8,0,0.00,8,100.00
朔州,0,0,8,0,0.00,8,100.00
临汾,0,0,2,0,0.00,2,100.00
阳泉,0,0,4,0,0.00,4,100.00
吕梁,0,0,6,0,0.00,6,100.00
重庆,0,0,583,6,1.03,577,98.97
境外输入,0,0,7,0,0.00,7,100.00
荣昌区,0,0,9,0,0.00,9,100.00
大足区,0,0,14,0,0.00,14,100.00
綦江区,0,0,23,0,0.00,23,100.00
长寿区,0,0,22,0,0.00,22,100.00
江北区,0,0,28,0,0.00,28,100.00
沙坪坝区,0,0,9,0,0.00,9,100.00
九龙坡区,0,0,21,1,4.76,20,95.24
南岸区,0,0,15,0,0.00,15,100.00
铜梁区,0,0,10,0,0.00,10,100.00
潼南区,0,0,18,0,0.00,18,100.00
丰都县,0,0,10,0,0.00,10,100.00
万州区,0,0,118,4,3.39,114,96.61
两江新区,0,0,17,0,0.00,17,100.00
巴南区,0,0,6,0,0.00,6,100.00
垫江县,0,0,20,0,0.00,20,100.00
渝中区,0,0,20,0,0.00,20,100.00
奉节县,0,0,22,0,0.00,22,100.00
石柱县,0,0,15,0,0.00,15,100.00
云阳县,0,0,25,0,0.00,25,100.00
涪陵区,0,0,5,0,0.00,5,100.00
渝北区,0,0,17,0,0.00,17,100.00
彭水县,0,0,2,0,0.00,2,100.00
忠县,0,0,21,0,0.00,21,100.00
合川区,0,0,23,0,0.00,23,100.00
开州区,0,0,21,1,4.76,20,95.24
大渡口区,0,0,7,0,0.00,7,100.00
巫溪县,0,0,14,0,0.00,14,100.00
巫山县,0,0,10,0,0.00,10,100.00
万盛经开区,0,0,1,0,0.00,1,100.00
酉阳县,0,0,1,0,0.00,1,100.00
璧山区,0,0,9,0,0.00,9,100.00
高新区,0,0,4,0,0.00,4,100.00
永川区,0,0,5,0,0.00,5,100.00
江津区,0,0,4,0,0.00,4,100.00
武隆区,0,0,1,0,0.00,1,100.00
梁平区,0,0,4,0,0.00,4,100.00
城口县,0,0,2,0,0.00,2,100.00
黔江区,0,0,2,0,0.00,2,100.00
秀山县,0,0,1,0,0.00,1,100.00
